company,founder_name
SpaceX,Elon Musk
OpenAI,Sam Altman
OpenAI,Elon Musk
OpenAI,Greg Brockman
OpenAI,Ilya Sutskever
Anthropic,Dario Amodei
Anthropic,Daniela Amodei
Anthropic,Jared Kaplan
Anthropic,Jack Clark
Anthropic,Ben Mann
ByteDance,Zhang Yiming
ByteDance,Liang Rubo
Stripe,Patrick
Stripe,John Collison
Databricks,Ali Ghodsi
Revolut,Nikolay Storonsky
Revolut,Vlad Yatsenko
Canva,Melanie Perkins
Canva,Cliff Obrecht
Canva,Cameron Adams
Safe Superintelligence,Ilya Sutskever
Safe Superintelligence,Daniel Gross
Safe Superintelligence,Daniel Levy
Epic Games,Tim Sweeney
VAST Data,Renen Hallak
VAST Data,Shachar Fienblit
VAST Data,Jeff Denworth
VAST Data,Alon Horev
Anysphere,Michael Truell
Anysphere,Sualeh Asif
Anysphere,Arvid Lunnemark
Anysphere,Aman Sanger
Fanatics,Alan Trager
Fanatics,Mitch Trager
Fanatics,Michael Rubin[36]
Chime,Chris Britt
Chime,Ryan King
Chobani,Hamdi Ulukaya
Miro,Andrey Khusid
Rippling,Parker Conrad
Yuanfudao,Yong Li
Discord,Jason Citron
Discord,Stanislav Vishnevsky
Mistral AI,Arthur Mensch
Mistral AI,Guillaume Lample
Mistral AI,Timothée Lacroix
Xiaohongshu,Miranda Qu Fang
Xiaohongshu,Charlwin Mao Wenchao
Skild AI,Deepak Pathak
Plaid,Zach Perret
Plaid,William Hockey
OpenSea,Devin Finzer
OpenSea,Chris Maddern
Grammarly,Alex Shevchenko
Grammarly,Max Lytvyn
Grammarly,Dmytro Lider
Devoted Health,Todd Park
Faire,Max Rhodes
Labs,Duránd F. Davis Jr.
Labs,Maya Elz Davis
Thinking Machines Lab,Mira Murati
GoodLeap,Hayes Barnard
GoodLeap,Jason Walker
GoodLeap,Matt Dawson
Checkout.com,Guillaume Pousaz
Whatnot,Grant LaFontaine (CEO)
Whatnot,Logan Head
Airtable,Howie Liu
Airtable,Andrew Ofstad
Airtable,Emmett Nicholas
Celonis,Alex Rinke
Celonis,Bastian Nominacher
Celonis,Martin Klenk
ElevenLabs,Mati Staniszewski
ElevenLabs,Piotr Dabkowski
ZongMu Technology,Tang Rui[75]
Bilt Rewards,Ankur Jain
Cognition AI,Scott Wu
Cognition AI,Steven Hao
Cognition AI,Walden Yan
Alchemy,Joe Lau
Alchemy,Nikil Viswanathan
Mercor,Brendan Foody
Mercor,Adarsh Hiremath
Mercor,Surya Midha
Gusto,Joshua Reeves
Gusto,Edward Kim
Talkdesk,Cristina Fonseca
Talkdesk,Tiago Paiva
Neuralink,Elon Musk
Tanium,David Hindawi
Tanium,Orion Hindawi
Bolt,Markus Villig
Dream11,Harsh Jain
Dream11,Bhavit Sheth
Flexport,Ryan Petersen
Quince,Sid Gupta
Quince,Zunu Mittal
Quince,Sourabh Mahajan
